Entity,Code,Year,$2.15 a day - Share of population in poverty,990305-annotations,$2.15 a day - Number in poverty,990286-annotations
Albania,ALB,1996,0.534846,,16944,
Albania,ALB,2002,1.0926474,,33337,
Albania,ALB,2005,0.5910857,,17800,
Albania,ALB,2008,0.19992515,,5892,
Albania,ALB,2012,0.6206909,,18003,
Albania,ALB,2014,1.0231007,,29558,
Albania,ALB,2015,0.096067496,,2767,
Albania,ALB,2016,0.13930316,,4006,
Albania,ALB,2017,0.39256993,,11280,
Albania,ALB,2018,0.04810705,,1379,
Albania,ALB,2019,0,,0,
Albania,ALB,2020,0.021277364,,604,
Algeria,DZA,1988,6.42,,1556402,
Algeria,DZA,1995,6.119,,1742570,
Algeria,DZA,2011,0,,0,
Angola,AGO,2000,21.360565,,3526425,
Angola,AGO,2008,14.589688,,3224262,
Angola,AGO,2018,31.122005,,9790093,
Argentina (urban),,1980,0,,0,
Argentina (urban),,1986,1.1191322,,294029,
Argentina (urban),,1987,1.1860859,,317837,
Argentina (urban),,1991,0.9720286,,281019,
Argentina (urban),,1992,1.6737126,,491843,
Argentina (urban),,1993,1.9766662,,590224,
Argentina (urban),,1994,1.9113266,,579825,
Argentina (urban),,1995,3.8554344,,1187855,
Argentina (urban),,1996,4.2175674,,1318924,
Argentina (urban),,1997,3.7657506,,1194498,
Argentina (urban),,1998,3.9691887,,1276500,
Argentina (urban),,1999,4.1879582,,1365425,
Argentina (urban),,2000,4.988261,,1648402,
Argentina (urban),,2001,8.234787,,2757085,
Argentina (urban),,2002,12.447155,,4220940,
Argentina (urban),,2003,5.3636475,,1841348,
Argentina (urban),,2004,3.8789883,,1347862,
Argentina (urban),,2005,2.68375,,944024,
Argentina (urban),,2006,2.1735892,,773974,
Argentina (urban),,2007,1.7975101,,647723,
Argentina (urban),,2008,1.637588,,597062,
Argentina (urban),,2009,1.5534867,,573190,
Argentina (urban),,2010,0.7465409,,276637,
Argentina (urban),,2011,0.71137697,,267078,
Argentina (urban),,2012,0.6470466,,246057,
Argentina (urban),,2013,0.6666751,,256735,
Argentina (urban),,2014,0.6047795,,235804,
Argentina (urban),,2016,0.69688517,,278340,
Argentina (urban),,2017,0.6037963,,243998,
Argentina (urban),,2018,1.0443243,,426890,
Argentina (urban),,2019,1.1097425,,458763,
Argentina (urban),,2020,1.1731251,,490331,
Argentina (urban),,2021,0.89421797,,377798,
Argentina (urban),,2022,0.61188984,,261255,
Armenia,ARM,1999,11.899414,,381499,
Armenia,ARM,2001,13.9747505,,437848,
Armenia,ARM,2002,9.966604,,309467,
Armenia,ARM,2003,7.5395174,,232526,
Armenia,ARM,2004,5.317806,,163030,
Armenia,ARM,2005,2.6295705,,80129,
Armenia,ARM,2006,1.9985934,,60487,
Armenia,ARM,2007,1.5362027,,46154,
Armenia,ARM,2008,0.8796942,,26245,
Armenia,ARM,2009,1.2476557,,36984,
Armenia,ARM,2010,0.9514653,,28033,
Armenia,ARM,2011,1.1850709,,34710,
Armenia,ARM,2012,0.8322223,,24254,
Armenia,ARM,2013,1.7382652,,50434,
Armenia,ARM,2014,1.4391431,,41590,
Armenia,ARM,2015,1.1463602,,32999,
Armenia,ARM,2016,1.1079466,,31752,
Armenia,ARM,2017,0.7856546,,22406,
Armenia,ARM,2018,1.339821,,38005,
Armenia,ARM,2019,1.0300698,,29054,
Armenia,ARM,2020,0.3520105,,9876,
Armenia,ARM,2021,0.5235208,,14611,
Armenia,ARM,2022,0.7810783,,21718,
Australia,AUS,1981,0.9935031,,148263,
Australia,AUS,1985,1.0013098,,158090,
Australia,AUS,1989,0.744275,,125145,
Australia,AUS,1995,0.74978226,,134997,
Australia,AUS,2001,0.7474116,,144061,
Australia,AUS,2003,0.9973307,,196681,
Australia,AUS,2004,0.7125372,,142028,
Australia,AUS,2008,0.36123243,,76759,
Australia,AUS,2010,0.34916842,,76928,
Australia,AUS,2014,0.4984838,,117022,
Australia,AUS,2016,0.49874178,,120650,
Australia,AUS,2018,0.49709398,,124091,
Austria,AUT,1994,0.23091485,,18326,
Austria,AUT,1995,0,,0,
Austria,AUT,1996,0,,0,
Austria,AUT,1997,0.24598348,,19600,
Austria,AUT,1998,0.23944513,,19100,
Austria,AUT,1999,0.22600505,,18063,
Austria,AUT,2000,0,,0,
Austria,AUT,2003,0.33220324,,26980,
Austria,AUT,2004,0.08165289,,6673,
Austria,AUT,2005,0.1536901,,12645,
Austria,AUT,2006,0.090110004,,7451,
Austria,AUT,2007,0.37229174,,30883,
Austria,AUT,2008,0.47116703,,39208,
Austria,AUT,2009,0.6562347,,54752,
Austria,AUT,2010,0.49070254,,41039,
Austria,AUT,2011,0.41540423,,34859,
Austria,AUT,2012,0.6169174,,52006,
Austria,AUT,2013,0.33799785,,28662,
